,Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
0,Asia,Western Asia,Turkey,6.89,6.4,7.0,9.0,9.0,4.0,3.0,9.5,8.0,4.0,5.0,5.5,7.38,8.0,7.5,9.0,5.0,3.54,3.0,3.0,3.5,4.5,2.0,3.0,6.5,2.0,4.0,4.0,3.5,3.5
1,Africa,West Africa,Cabo Verde,4.04,3.7,4.5,2.0,2.5,2.5,4.0,1.0,4.0,7.0,5.0,4.5,4.38,2.5,4.0,4.0,7.0,6.33,6.5,6.0,8.5,7.0,7.0,6.0,7.5,5.0,6.0,3.5,6.0,7.0
2,Africa,Southern Africa,South Africa,6.63,6.0,4.5,4.0,8.0,3.5,7.5,7.5,7.5,5.5,3.5,8.5,7.25,7.0,7.0,7.5,7.5,5.79,6.0,5.5,6.5,6.5,6.0,5.0,6.0,6.0,6.0,4.0,5.0,7.0
3,Americas,South America,Colombia,7.66,7.2,7.5,7.0,8.0,6.0,7.0,9.0,5.0,9.5,8.0,5.0,8.13,9.5,9.0,7.0,7.0,5.83,7.0,5.5,9.0,7.0,5.5,6.0,4.5,6.0,5.0,3.5,4.5,6.5
4,Americas,South America,Peru,6.35,6.2,7.0,6.0,5.5,7.0,5.5,9.0,3.5,9.0,5.5,4.0,6.5,6.0,8.0,7.0,5.0,4.58,3.0,5.5,5.0,6.0,6.0,5.0,5.0,4.5,4.0,3.5,3.0,4.5
5,Asia,Western Asia,Iraq,7.05,6.35,8.0,8.5,9.0,1.5,4.5,9.0,6.0,5.0,6.0,6.0,7.75,6.5,7.5,8.0,9.0,3.79,4.5,3.0,4.0,4.0,4.0,3.5,3.5,4.0,3.5,3.0,4.0,4.5
6,Americas,South America,Suriname,4.9,4.55,4.0,4.0,5.5,5.0,3.5,9.0,1.5,8.5,2.5,2.0,5.25,2.5,5.0,8.0,5.5,2.25,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.5,2.0,2.5,4.0
7,Americas,South America,Venezuela,6.64,5.65,7.5,7.5,8.0,2.5,2.5,9.0,2.0,9.0,7.0,1.5,7.63,9.5,5.0,9.0,7.0,1.92,2.0,1.5,1.5,2.0,1.5,1.5,3.5,1.5,1.0,1.0,2.0,4.0
8,Africa,Southern Africa,Mauritius,4.51,4.4,4.5,3.5,2.0,2.0,3.0,4.0,8.0,3.5,5.5,8.0,4.63,2.0,6.0,6.0,4.5,5.67,6.0,6.0,6.5,6.0,5.5,5.5,5.5,3.5,7.0,5.5,5.0,6.0
9,Africa,Southern Africa,Botswana,3.71,3.8,4.5,3.0,3.0,2.0,7.5,3.5,3.5,3.5,4.0,3.5,3.63,1.0,5.5,3.0,5.0,5.63,6.0,5.0,8.0,6.0,6.5,5.0,5.0,4.5,5.5,5.5,4.5,6.0
10,Asia,Western Asia,Iran,7.1,6.95,7.5,8.0,8.0,4.5,4.0,8.5,9.0,5.5,6.0,8.5,7.25,7.0,7.5,9.5,5.0,3.5,3.0,2.5,4.5,4.0,3.5,3.5,5.5,2.5,3.0,4.0,3.0,3.0
11,Americas,South America,Guyana,5.1,4.7,5.5,4.0,5.0,4.5,3.5,8.5,2.5,8.0,3.0,2.5,5.5,3.0,5.0,8.0,6.0,4.29,5.0,3.0,5.0,3.0,4.0,2.5,5.0,4.0,5.0,5.0,5.0,5.0
12,Africa,West Africa,Senegal,4.81,5.0,5.0,5.0,4.5,7.5,7.0,3.5,2.5,6.5,6.0,2.5,4.63,2.5,5.5,4.5,6.0,5.58,5.5,4.0,6.0,6.5,5.0,6.0,6.5,5.0,5.5,5.0,5.0,7.0
13,Americas,South America,Brazil,6.5,6.5,5.0,4.0,8.0,8.5,8.5,8.0,2.0,9.0,8.0,4.0,6.5,7.5,6.5,8.5,3.5,5.04,3.0,4.5,7.5,4.5,3.0,5.0,5.5,6.0,6.0,5.0,4.0,6.5
14,Asia,South-Eastern Asia,Cambodia,5.83,6.15,7.5,6.5,5.0,8.0,8.0,8.0,4.0,2.5,4.5,7.5,5.5,2.5,4.0,8.5,7.0,3.92,4.5,3.5,5.0,4.5,4.0,4.5,4.5,4.0,4.0,3.0,3.0,2.5
15,Africa,West Africa,Nigeria,7.15,7.05,7.5,6.0,8.0,6.0,6.5,8.0,6.0,6.5,8.0,8.0,7.25,5.5,9.0,7.5,7.0,5.5,5.5,5.0,7.0,7.0,4.5,4.5,4.5,5.0,6.5,5.0,5.0,6.5
16,Asia,South-Eastern Asia,Philippines,6.84,6.3,7.0,5.0,7.5,7.0,7.5,8.0,4.0,3.5,4.5,9.0,7.38,8.0,6.0,8.0,7.5,4.13,3.0,3.0,5.0,5.0,4.5,2.0,4.0,5.0,6.0,5.0,4.0,3.0
